,Model v4 (Tuned Optuna),Equal-Weight Benchmark,"Paper Model v4 (Original 9-Stock, 2021-2025, Reference Only)"
Cumulative Return (%),85.9839916229248,34.38280966250695,
Annualized Return (%),54.76997417463914,23.123940039554824,28.1
Annualized Volatility (%),22.44791665578501,17.5200145706083,26.6
Sharpe Ratio,2.2381530716808045,1.0614054803408737,1.06
VaR (95%) (%),-2.0178543403744698,-1.5843372362100383,-2.68
Max Drawdown (%),-18.318432569503784,-16.715531889031997,-21.7
Mean Annualized Rf (%),4.528100558659218,4.528100558659218,
