date,ic
2022-01-03,-0.15467980295566497
2022-01-04,-0.024630541871921176
2022-01-05,0.13940886699507385
2022-01-06,-0.044827586206896544
2022-01-07,0.001970443349753694
2022-01-10,-0.32463054187192114
2022-01-11,-0.5773399014778323
2022-01-12,-0.5842364532019703
2022-01-13,-0.5532019704433496
2022-01-14,-0.27389162561576347
2022-01-18,-0.3408866995073891
2022-01-19,-0.16995073891625612
2022-01-20,-0.06551724137931034
2022-01-21,0.05467980295566501
2022-01-24,0.3433497536945812
2022-01-25,0.2073891625615763
2022-01-26,0.06896551724137931
2022-01-27,-0.12266009852216746
2022-01-28,0.08423645320197042
2022-01-31,-0.1763546798029556
2022-02-01,-0.04926108374384235
2022-02-02,0.000985221674876847
2022-02-03,-0.19113300492610832
2022-02-04,-0.47881773399014765
2022-02-07,-0.3408866995073891
2022-02-08,-0.2162561576354679
2022-02-09,-0.031034482758620686
2022-02-10,0.30935960591132994
2022-02-11,0.22167487684729056
2022-02-14,0.3054187192118226
2022-02-15,0.11970443349753691
2022-02-16,0.293103448275862
2022-02-17,-0.04679802955665024
2022-02-18,0.39211822660098516
2022-02-22,0.23990147783251226
2022-02-23,0.19852216748768467
2022-02-24,-0.2467980295566502
2022-02-25,-0.18472906403940884
2022-02-28,-0.4182266009852216
2022-03-01,-0.35369458128078807
2022-03-02,-0.12660098522167484
2022-03-03,-0.2669950738916256
2022-03-04,-0.45467980295566496
2022-03-07,0.045320197044334966
2022-03-08,0.2014778325123152
2022-03-09,0.15960591133004923
2022-03-10,0.167487684729064
2022-03-11,0.4428571428571427
2022-03-14,0.5596059113300491
2022-03-15,0.4635467980295565
2022-03-16,0.22216748768472902
2022-03-17,0.180295566502463
2022-03-18,-0.024630541871921176
2022-03-21,0.08522167487684727
2022-03-22,0.18472906403940884
2022-03-23,-0.13497536945812805
2022-03-24,-0.27044334975369455
2022-03-25,0.006403940886699506
2022-03-28,-0.10492610837438422
2022-03-29,-0.22364532019704428
2022-03-30,0.0251231527093596
2022-03-31,-0.16108374384236449
2022-04-01,0.04581280788177339
2022-04-04,-0.029064039408866992
2022-04-05,-0.46108374384236434
2022-04-06,-0.5162561576354678
2022-04-07,-0.6857142857142855
2022-04-08,-0.37192118226600973
2022-04-11,0.11527093596059108
2022-04-12,-0.27192118226600975
2022-04-13,-0.07881773399014776
2022-04-14,-0.2502463054187192
2022-04-18,-0.225615763546798
2022-04-19,-0.18669950738916252
2022-04-20,0.050738916256157625
2022-04-21,-0.3950738916256157
2022-04-22,-0.10788177339901475
2022-04-25,-0.17093596059113297
2022-04-26,0.09704433497536943
2022-04-27,-0.044334975369458116
2022-04-28,-0.5418719211822659
2022-04-29,-0.19458128078817727
2022-05-02,-0.4039408866995073
2022-05-03,-0.17044334975369455
2022-05-04,-0.3300492610837438
2022-05-05,0.04679802955665024
2022-05-06,-0.011330049261083741
2022-05-09,-0.2551724137931034
2022-05-10,-0.16108374384236449
2022-05-11,-0.0586206896551724
2022-05-12,-0.16847290640394083
2022-05-13,-0.19014778325123147
2022-05-16,0.012315270935960588
2022-05-17,0.0334975369458128
2022-05-18,-0.09359605911330048
2022-05-19,0.16403940886699503
2022-05-20,0.32561576354679794
2022-05-23,-0.02758620689655172
2022-05-24,0.27192118226600975
2022-05-25,0.5266009852216748
2022-05-26,-0.22364532019704428
2022-05-27,-0.22906403940886697
2022-05-31,-0.34482758620689646
2022-06-01,-0.5320197044334974
2022-06-02,-0.5216748768472905
2022-06-03,-0.4364532019704433
2022-06-06,-0.02068965517241379
2022-06-07,-0.4083743842364531
2022-06-08,-0.35221674876847286
2022-06-09,0.11182266009852214
2022-06-10,0.1172413793103448
2022-06-13,0.1172413793103448
