date,beta_sent
2022-01-03,0.28387364745140076
2022-01-04,0.2789040505886078
2022-01-05,0.27852967381477356
2022-01-06,0.2849692404270172
2022-01-07,0.29788073897361755
2022-01-10,0.2933339476585388
2022-01-11,0.3003726899623871
2022-01-12,0.2803598642349243
2022-01-13,0.2863166034221649
2022-01-14,0.2947980761528015
2022-01-18,0.3026881515979767
2022-01-19,0.31110522150993347
2022-01-20,0.2924085259437561
2022-01-21,0.2915520966053009
2022-01-24,0.3029410243034363
2022-01-25,0.29518988728523254
2022-01-26,0.2794249951839447
2022-01-27,0.27669042348861694
2022-01-28,0.27507200837135315
2022-01-31,0.2629145383834839
2022-02-01,0.27588048577308655
2022-02-02,0.26754024624824524
2022-02-03,0.27714845538139343
2022-02-04,0.27747124433517456
2022-02-07,0.30785462260246277
2022-02-08,0.3210371136665344
2022-02-09,0.31950587034225464
2022-02-10,0.32562318444252014
2022-02-11,0.318474143743515
2022-02-14,0.30756914615631104
2022-02-15,0.28781455755233765
2022-02-16,0.28755325078964233
2022-02-17,0.3221772611141205
2022-02-18,0.30113160610198975
2022-02-22,0.30969345569610596
2022-02-23,0.308543860912323
2022-02-24,0.28311899304389954
2022-02-25,0.2870371341705322
2022-02-28,0.2823196351528168
2022-03-01,0.29382088780403137
2022-03-02,0.2872728705406189
2022-03-03,0.2812155485153198
2022-03-04,0.27937212586402893
2022-03-07,0.283583402633667
2022-03-08,0.2895277738571167
2022-03-09,0.28287258744239807
2022-03-10,0.3075004518032074
2022-03-11,0.3168102502822876
2022-03-14,0.2738015055656433
2022-03-15,0.2905276119709015
2022-03-16,0.288531631231308
2022-03-17,0.2912272810935974
2022-03-18,0.30136972665786743
2022-03-21,0.30967164039611816
2022-03-22,0.29999059438705444
2022-03-23,0.288578063249588
2022-03-24,0.2942282557487488
2022-03-25,0.30438846349716187
2022-03-28,0.3140614330768585
2022-03-29,0.32100021839141846
2022-03-30,0.3209238350391388
2022-03-31,0.3391111493110657
2022-04-01,0.31525060534477234
2022-04-04,0.31837889552116394
2022-04-05,0.3065827190876007
2022-04-06,0.2977901101112366
2022-04-07,0.30469074845314026
2022-04-08,0.3205614984035492
2022-04-11,0.3101930320262909
2022-04-12,0.3155488669872284
2022-04-13,0.32349321246147156
2022-04-14,0.29694727063179016
2022-04-18,0.3043454885482788
2022-04-19,0.30472928285598755
2022-04-20,0.28973281383514404
2022-04-21,0.29459673166275024
2022-04-22,0.30091404914855957
2022-04-25,0.31257790327072144
2022-04-26,0.30826228857040405
2022-04-27,0.3088194727897644
2022-04-28,0.2883407771587372
2022-04-29,0.2754508852958679
2022-05-02,0.26176297664642334
2022-05-03,0.26389893889427185
2022-05-04,0.26479753851890564
2022-05-05,0.28692251443862915
2022-05-06,0.29572680592536926
2022-05-09,0.2910531461238861
2022-05-10,0.28593164682388306
2022-05-11,0.29635244607925415
2022-05-12,0.3294793367385864
2022-05-13,0.311847060918808
2022-05-16,0.2972192168235779
2022-05-17,0.3263423442840576
2022-05-18,0.31214478611946106
2022-05-19,0.28620123863220215
2022-05-20,0.2954232096672058
2022-05-23,0.3067018985748291
2022-05-24,0.2990468740463257
2022-05-25,0.2870641350746155
2022-05-26,0.27340957522392273
2022-05-27,0.269989937543869
2022-05-31,0.28563153743743896
2022-06-01,0.29496175050735474
2022-06-02,0.2802187502384186
2022-06-03,0.3003617227077484
2022-06-06,0.2765633463859558
2022-06-07,0.30623266100883484
2022-06-08,0.2910086214542389
2022-06-09,0.29483577609062195
2022-06-10,0.28881633281707764
2022-06-13,0.28512337803840637
2022-06-14,0.30497702956199646
2022-06-15,0.30367469787597656
2022-06-16,0.30502966046333313
2022-06-17,0.28194764256477356
2022-06-21,0.27347299456596375
2022-06-22,0.27408289909362793
2022-06-23,0.2811509966850281
2022-06-24,0.24356822669506073
2022-06-27,0.2660064101219177
2022-06-28,0.28924721479415894
2022-06-29,0.2844909131526947
2022-06-30,0.2960323989391327
2022-07-01,0.301121324300766
2022-07-05,0.31813696026802063
2022-07-06,0.30950745940208435
2022-07-07,0.3238529562950134
2022-07-08,0.32270583510398865
2022-07-11,0.3133644461631775
2022-07-12,0.29583048820495605
2022-07-13,0.3034978210926056
2022-07-14,0.30927008390426636
2022-07-15,0.31166499853134155
2022-07-18,0.2801899313926697
2022-07-19,0.31092387437820435
2022-07-20,0.29666292667388916
2022-07-21,0.28696537017822266
2022-07-22,0.2849965989589691
2022-07-25,0.3064953684806824
2022-07-26,0.28280603885650635
2022-07-27,0.2850489914417267
2022-07-28,0.27917295694351196
2022-07-29,0.2963106632232666
2022-08-01,0.2934529781341553
2022-08-02,0.285396933555603
2022-08-03,0.29693031311035156
2022-08-04,0.2967643737792969
2022-08-05,0.3127302825450897
2022-08-08,0.32590779662132263
2022-08-09,0.3195110857486725
2022-08-10,0.283275306224823
2022-08-11,0.2725987136363983
2022-08-12,0.26604506373405457
2022-08-15,0.2761856019496918
2022-08-16,0.25802695751190186
2022-08-17,0.290642112493515
2022-08-18,0.30428382754325867
2022-08-19,0.31304576992988586
2022-08-22,0.3032880127429962
2022-08-23,0.29270461201667786
2022-08-24,0.2879067659378052
2022-08-25,0.26061877608299255
2022-08-26,0.27555811405181885
2022-08-29,0.2751079201698303
2022-08-30,0.2908797860145569
2022-08-31,0.29445788264274597
2022-09-01,0.3079700767993927
2022-09-02,0.30239731073379517
2022-09-06,0.28945422172546387
2022-09-07,0.29934367537498474
2022-09-08,0.3075713515281677
2022-09-09,0.30033689737319946
2022-09-12,0.31078505516052246
2022-09-13,0.31717196106910706
2022-09-14,0.32265979051589966
2022-09-15,0.32135483622550964
2022-09-16,0.33384400606155396
2022-09-19,0.34006208181381226
2022-09-20,0.3165387809276581
2022-09-21,0.3029000759124756
2022-09-22,0.31613889336586
2022-09-23,0.3191128969192505
2022-09-26,0.3016602396965027
2022-09-27,0.30434027314186096
2022-09-28,0.2728075683116913
2022-09-29,0.2674344778060913
2022-09-30,0.27575695514678955
2022-10-03,0.2742461860179901
2022-10-04,0.2785516083240509
2022-10-05,0.2881123125553131
2022-10-06,0.2838951349258423
2022-10-07,0.30001363158226013
2022-10-10,0.27606624364852905
2022-10-11,0.29008370637893677
2022-10-12,0.2723570466041565
2022-10-13,0.24717503786087036
2022-10-14,0.2378399521112442
2022-10-17,0.251178503036499
2022-10-18,0.26080718636512756
2022-10-19,0.25679293274879456
2022-10-20,0.2371262162923813
2022-10-21,0.2247464507818222
2022-10-24,0.23662284016609192
2022-10-25,0.2567381262779236
2022-10-26,0.2826985716819763
2022-10-27,0.31709474325180054
2022-10-28,0.3041190803050995
2022-10-31,0.30581673979759216
