date,port_ret,bench_ret,turnover
2022-01-03,0.01529417131355959,-0.019875068840175012,1.0
2022-01-10,0.028183083603619697,-0.020332221370854383,0.4
2022-01-18,-0.05951672364167833,-0.04744294657307352,0.4
2022-01-25,0.020954426870694865,0.0453474268257244,0.8
2022-02-01,-0.0030591507653727978,-0.0011450753198792546,1.0
2022-02-08,-0.020155115732557172,-0.01285198708709318,0.8
2022-02-15,-0.09376869758063586,-0.05620810592797107,1.0
2022-02-23,0.04355828107536617,0.03509839673867919,1.0
2022-03-02,0.0003804424703867548,-0.010208649544999959,0.8
2022-03-09,-0.0026710298400533183,0.018422258654881812,0.6
2022-03-16,0.013071884640799513,0.028325521408232458,1.0
2022-03-23,0.043407768800620875,0.03300791961878706,0.8
2022-03-30,-0.026016179444872133,-0.018752847004672585,0.8
2022-04-06,-0.010372659158235598,-0.006880239851858421,0.8
2022-04-13,-0.005242287726584216,-0.014951065132961551,1.0
2022-04-21,-0.04531385592056945,-0.034844950795183745,1.0
2022-04-28,-0.04212087186579731,-0.028843473857883543,0.8
2022-05-05,-0.040946754171594234,-0.05870460165312624,0.8
2022-05-12,-0.02748045722655268,0.0019297063587925842,0.8
2022-05-19,0.043716772869966405,0.041796640732672564,1.0
2022-05-26,0.022196155258444584,0.023772171188640747,0.8
2022-06-03,-0.043803709103489206,-0.046725407271374766,0.8
2022-06-10,-0.12541155365610082,-0.05925021313199981,0.8
2022-06-17,0.05838677475502738,0.057759454198449106,1.0
2022-06-27,-0.007297419039206399,-0.02255522491839687,1.0
2022-07-05,0.0047840495594894785,-0.0018174722572053491,0.6
2022-07-12,0.03450095730560081,0.037669515984218034,0.8
2022-07-19,-0.00045886956313838655,0.006657941536165153,1.0
2022-07-26,0.05977583586128112,0.046005387364259236,0.8
2022-08-02,-0.013505148515396193,0.007084988884123191,0.8
2022-08-09,0.04022307658597475,0.043838872905378676,1.0
2022-08-16,-0.06152894528153856,-0.0338488498996691,1.0
2022-08-23,-0.026692566765097615,-0.03142820695524843,1.0
2022-08-30,-0.01785391298732788,-0.004945276662580067,0.8
2022-09-07,-0.0016079555797260836,-0.010192040207729918,1.0
2022-09-14,-0.050455359336569104,-0.03614828843259808,0.8
2022-09-21,-0.005022425004085451,-0.02136836293347747,0.8
2022-09-28,0.020839687980200063,0.014423197171960542,0.6
2022-10-05,-0.022848977993491504,-0.053333151637561825,0.8
2022-10-12,0.044186369263723435,0.04956144049317332,0.4
2022-10-19,0.06127371800552717,0.03739044260729824,1.0
2022-10-26,0.008404565895221427,-0.006624603097041906,0.8
2022-11-02,0.05698836737637554,0.010085552506236979,0.6
2022-11-09,0.03796349057840933,0.06388863108103635,0.4
2022-11-16,-0.004571490111324894,0.014724420371928375,1.0
2022-11-23,0.01196286459112359,0.007207023848692628,0.8
2022-12-01,-0.030187046063341594,-0.02732748809314146,0.8
2022-12-08,-0.004630321631454226,-0.013575700475779,1.0
2022-12-15,-0.010653793779406274,-0.017902793254157633,0.8
2022-12-22,0.011601085411960366,0.006358229966758519,0.8
2022-12-30,0.023180177679355186,0.014839173567418328,0.8
2023-01-09,0.06114978977729515,0.035526666312236624,0.8
2023-01-17,0.035174608546383455,0.010919580634188443,0.6
2023-01-24,0.033549049804590725,0.012429044969469375,0.6
2023-01-31,0.028906648347277342,0.015217473030896137,0.8
2023-02-07,-0.002367485790023394,-0.004993510908733196,0.8
2023-02-14,-0.0532991997041055,-0.036527244806261676,0.6
2023-02-22,-0.022494285323237828,-0.005024753264255287,0.8
2023-03-01,0.007774110113880494,0.008729103713604771,1.0
2023-03-08,0.01430581276846694,-0.022285982555100656,0.8
2023-03-15,0.002942799189298051,0.008271015436432468,0.8
2023-03-22,0.01451233289439673,0.026120419530755692,1.0
2023-03-29,0.02729909205162495,0.019104429757236467,1.0
2023-04-05,0.011683888514868835,0.01192173463602063,0.8
2023-04-13,-0.0057999742233062705,-0.005127774347594042,0.8
2023-04-20,-0.017712467364282957,-0.0036182981945348525,0.8
2023-04-27,-0.019571020229199675,-0.02269960575177652,1.0
2023-05-04,0.016821393957870922,0.01822423185197256,1.0
2023-05-11,0.04397328278572869,0.013333531242320916,0.8
2023-05-18,0.024105846017032827,-0.007721758524432354,0.4
2023-05-25,0.03991216642339479,0.03521307247022265,0.6
2023-06-02,0.04804064128942913,0.010004239440893983,0.8
2023-06-09,0.03041641084592577,0.02028159076831305,0.4
2023-06-16,-0.04404294237005557,-0.021448607936687618,0.6
2023-06-26,0.019924661618571694,0.030759079078739437,1.0
2023-07-03,-0.008786585320032892,-0.009159625719227514,1.0
2023-07-11,0.012250283025741337,0.02682937144462835,0.8
2023-07-18,-0.04697681733433556,0.018857981126081606,1.0
2023-07-25,-0.013095654177198579,0.005204631208046971,1.0
2023-08-01,0.0012806730078369188,-0.010949803195542148,0.8
2023-08-08,-0.009064647699801953,-0.013607836406676536,0.8
2023-08-15,-0.022671412126051328,-0.014705937588783526,0.8
2023-08-22,0.04042484324446827,0.024742334677692535,1.0
2023-08-29,-0.023296952580564724,-0.009778130241949125,0.6
2023-09-06,0.006811587536192198,0.010222249490915313,1.0
2023-09-13,-0.021000689822861407,-0.012981060961480072,0.8
2023-09-20,-0.01819819030154659,-0.031012806758128904,1.0
2023-09-27,-0.03491648353625223,-0.01603730450471356,0.8
2023-10-04,0.03732186603524492,0.018761569563136734,0.8
2023-10-11,-0.03857531892837827,-0.017388845981490413,0.8
2023-10-18,-0.03402618523459191,-0.02066762367456269,1.0
2023-10-25,0.008532399881712593,0.014432590561099452,1.0
2023-11-01,0.03077115906681378,0.022259171538396988,1.0
2023-11-08,0.0533485578076641,0.03472193952570074,0.8
2023-11-15,0.002617454438199318,0.011803640435582774,0.6
2023-11-22,0.007420753095352772,0.010117009483277584,0.8
2023-11-30,0.015847695536272476,0.0009813676704115244,0.8
2023-12-07,0.0670443190746071,0.03970698377654779,0.8
2023-12-14,-0.005690343542496668,0.006516265891080472,0.6
