date,ic
2022-01-03,-0.20541871921182261
2022-01-04,0.19852216748768467
2022-01-05,0.16650246305418717
2022-01-06,-0.06009852216748767
2022-01-07,-0.13891625615763545
2022-01-10,-0.11625615763546797
2022-01-11,-0.44088669950738907
2022-01-12,-0.43793103448275855
2022-01-13,-0.4876847290640393
2022-01-14,-0.5980295566502462
2022-01-18,-0.5847290640394087
2022-01-19,-0.2975369458128078
2022-01-20,-0.014285714285714282
2022-01-21,-0.2793103448275862
2022-01-24,-0.05517241379310344
2022-01-25,-0.14679802955665022
2022-01-26,-0.025615763546798023
2022-01-27,0.180295566502463
2022-01-28,-0.20394088669950733
2022-01-31,-0.5384236453201969
2022-02-01,-0.3098522167487684
2022-02-02,-0.21280788177339893
2022-02-03,-0.2113300492610837
2022-02-04,-0.5019704433497535
2022-02-07,-0.3453201970443349
2022-02-08,-0.23251231527093594
2022-02-09,-0.4034482758620689
2022-02-10,-0.524630541871921
2022-02-11,0.0586206896551724
2022-02-14,0.06995073891625614
2022-02-15,-0.44926108374384227
2022-02-16,-0.38768472906403934
2022-02-17,-0.36748768472906396
2022-02-18,0.14975369458128074
2022-02-22,0.04926108374384235
2022-02-23,-0.009359605911330046
2022-02-24,-0.14384236453201968
2022-02-25,-0.09655172413793102
2022-02-28,-0.19802955665024624
2022-03-01,-0.21970443349753688
2022-03-02,0.04236453201970442
2022-03-03,-0.038423645320197035
2022-03-04,-0.2665024630541871
2022-03-07,0.05960591133004924
2022-03-08,-0.07044334975369455
2022-03-09,0.07290640394088668
2022-03-10,-0.2364532019704433
2022-03-11,0.35566502463054184
2022-03-14,0.6773399014778324
2022-03-15,0.47438423645320177
2022-03-16,0.3073891625615763
2022-03-17,0.21083743842364527
2022-03-18,0.04581280788177339
2022-03-21,0.13152709359605907
2022-03-22,0.24137931034482757
2022-03-23,0.19310344827586204
2022-03-24,-0.20788177339901473
2022-03-25,0.05911330049261083
2022-03-28,-0.10640394088669947
2022-03-29,-0.19753694581280784
2022-03-30,-0.08866995073891623
2022-03-31,-0.22167487684729056
2022-04-01,-0.2551724137931034
2022-04-04,-0.5551724137931033
2022-04-05,-0.34187192118226595
2022-04-06,-0.531527093596059
2022-04-07,-0.7182266009852215
2022-04-08,-0.6295566502463052
2022-04-11,-0.0251231527093596
2022-04-12,-0.17290640394088666
2022-04-13,-0.41280788177339894
2022-04-14,-0.45665024630541856
2022-04-18,-0.47192118226600976
2022-04-19,-0.2793103448275862
2022-04-20,-0.05270935960591132
2022-04-21,-0.0881773399014778
2022-04-22,0.3724137931034482
2022-04-25,0.2763546798029556
2022-04-26,0.35221674876847286
2022-04-27,0.028571428571428564
2022-04-28,0.07881773399014776
2022-04-29,-0.18078817733990143
2022-05-02,-0.3871921182266009
2022-05-03,-0.2842364532019704
2022-05-04,-0.39950738916256145
2022-05-05,-0.39901477832512305
2022-05-06,-0.08866995073891623
2022-05-09,-0.44827586206896547
2022-05-10,-0.18374384236453198
2022-05-11,-0.16650246305418717
2022-05-12,-0.028078817733990142
2022-05-13,-0.01822660098522167
2022-05-16,-0.044334975369458116
2022-05-17,-0.16551724137931031
2022-05-18,-0.3088669950738916
2022-05-19,-0.2118226600985221
2022-05-20,0.3226600985221674
2022-05-23,0.004926108374384235
2022-05-24,-0.15418719211822657
2022-05-25,0.21477832512315267
2022-05-26,-0.06009852216748767
2022-05-27,0.04137931034482758
2022-05-31,0.008866995073891625
2022-06-01,-0.11034482758620688
2022-06-02,-0.020197044334975364
