src,dst,freq,mean_cos
AMZN,GOOGL,1.6382113821138211,0.777204685929987
AMZN,NVDA,1.548780487804878,0.7508889859703582
AAPL,AMZN,1.5121951219512195,0.7854890949944014
AMZN,MSFT,1.5040650406504066,0.7826756273975244
NVDA,TSLA,1.4044715447154472,0.6980493739786438
AAPL,TSLA,1.2804878048780488,0.6964094830529084
JNJ,PG,1.258130081300813,0.8288116110353362
JNJ,KO,1.2459349593495934,0.8014076427476052
AMZN,NFLX,1.2276422764227641,0.715492769952444
DUK,PG,1.0995934959349594,0.8499406841678232
NFLX,TSLA,1.089430894308943,0.663514440934827
DUK,JNJ,1.08130081300813,0.8283629188300076
APD,TMO,1.0548780487804879,0.8521869183735121
LIN,TMO,1.0426829268292683,0.8510097059590077
AMT,DUK,1.0223577235772359,0.8513000966540388
