date,port_ret,bench_ret,turnover
2022-01-03,-0.04159956566451175,-0.019875068840175012,1.0
2022-01-10,-0.01185703066028665,-0.020332221370854383,0.8
2022-01-18,-0.06295248225639057,-0.04744294657307352,0.6
2022-01-25,0.035237492570450946,0.0453474268257244,0.4
2022-02-01,-0.01852182799963864,-0.0011450753198792546,0.6
2022-02-08,-0.0078612635543017,-0.01285198708709318,0.4
2022-02-15,-0.10634083084219477,-0.05620810592797107,0.6
2022-02-23,0.027283534560022284,0.03509839673867919,0.8
2022-03-02,0.027926808416601622,-0.010208649544999959,1.0
2022-03-09,0.0423878317350604,0.018422258654881812,0.8
2022-03-16,0.06835416745797943,0.028325521408232458,0.6
2022-03-23,0.05772916519681148,0.03300791961878706,0.8
2022-03-30,-0.011073931891947563,-0.018752847004672585,0.8
2022-04-06,-0.03580121517819703,-0.006880239851858421,1.0
2022-04-13,-0.010886752941479361,-0.014951065132961551,0.6
2022-04-21,-0.03505159924025312,-0.034844950795183745,0.19999999999999996
2022-04-28,-0.03411745683240688,-0.028843473857883543,0.19999999999999996
2022-05-05,-0.08559222492543841,-0.05870460165312624,0.4
2022-05-12,0.008904147861047451,0.0019297063587925842,0.6
2022-05-19,0.027934923232504925,0.041796640732672564,0.8
2022-05-26,0.027621867698439172,0.023772171188640747,0.6
2022-06-03,-0.06181278687338219,-0.046725407271374766,0.6
2022-06-10,-0.05440823392395997,-0.05925021313199981,0.6
2022-06-17,0.06835123080628125,0.057759454198449106,0.8
2022-06-27,-0.01995193821636283,-0.02255522491839687,0.8
2022-07-05,-0.019647708180903667,-0.0018174722572053491,0.4
2022-07-12,0.05717899020966981,0.037669515984218034,0.8
2022-07-19,0.024669695057720365,0.006657941536165153,0.6
2022-07-26,0.06664859037145288,0.046005387364259236,1.0
2022-08-02,0.027455517189035984,0.007084988884123191,1.0
2022-08-09,0.047957232306362306,0.043838872905378676,0.8
2022-08-16,-0.06132443561122418,-0.0338488498996691,0.6
2022-08-23,-0.02938404584434091,-0.03142820695524843,0.6
2022-08-30,0.009386831304076849,-0.004945276662580067,1.0
2022-09-07,0.0120799760653999,-0.010192040207729918,0.4
2022-09-14,-0.02910484567821703,-0.03614828843259808,0.6
2022-09-21,-0.026172995951031265,-0.02136836293347747,0.6
2022-09-28,0.028409790592559835,0.014423197171960542,0.6
2022-10-05,-0.08607158790066613,-0.053333151637561825,0.6
2022-10-12,0.02700249028508108,0.04956144049317332,0.6
2022-10-19,0.049480448602538904,0.03739044260729824,0.6
2022-10-26,-0.01078054928518386,-0.006624603097041906,0.6
2022-11-02,0.047439745578156646,0.010085552506236979,0.19999999999999996
2022-11-09,0.11150086679556077,0.06388863108103635,0.8
2022-11-16,0.006648603018468679,0.014724420371928375,0.4
2022-11-23,0.016600273790564966,0.007207023848692628,0.8
2022-12-01,-0.028232726036835264,-0.02732748809314146,0.6
2022-12-08,-0.0062669841817841075,-0.013575700475779,0.6
2022-12-15,-0.0013711540821011781,-0.017902793254157633,0.8
2022-12-22,0.02144944126616599,0.006358229966758519,0.4
2022-12-30,-0.0004967690398667735,0.014839173567418328,1.0
2023-01-09,0.04872729060375769,0.035526666312236624,0.8
2023-01-17,0.014154875277250034,0.010919580634188443,0.8
2023-01-24,0.03622210408014408,0.012429044969469375,0.6
2023-01-31,-0.02258136829169479,0.015217473030896137,0.8
2023-02-07,-0.01326038359928996,-0.004993510908733196,0.8
2023-02-14,-0.03898075170684738,-0.036527244806261676,0.4
2023-02-22,0.00530920018876011,-0.005024753264255287,0.6
2023-03-01,0.020961848585913635,0.008729103713604771,0.8
2023-03-08,-0.04311974886241534,-0.022285982555100656,0.8
2023-03-15,0.015609647951200812,0.008271015436432468,0.6
2023-03-22,0.03613016681400971,0.026120419530755692,0.6
2023-03-29,0.02719126963844043,0.019104429757236467,0.4
2023-04-05,0.011827382920394137,0.01192173463602063,0.4
2023-04-13,-0.026655613317323957,-0.005127774347594042,0.4
2023-04-20,-0.023321227713002067,-0.0036182981945348525,0.6
2023-04-27,-0.008959905756059117,-0.02269960575177652,0.6
2023-05-04,0.0016866207004102795,0.01822423185197256,0.8
2023-05-11,-0.0037964783764281806,0.013333531242320916,1.0
2023-05-18,-0.013993104831355407,-0.007721758524432354,0.6
2023-05-25,0.057360914800631324,0.03521307247022265,0.8
2023-06-02,-0.005455409548792467,0.010004239440893983,0.8
2023-06-09,0.03217866285983564,0.02028159076831305,1.0
2023-06-16,-0.03699034487634854,-0.021448607936687618,0.6
2023-06-26,0.01685322966240448,0.030759079078739437,0.4
2023-07-03,-0.01774324491950994,-0.009159625719227514,0.8
2023-07-11,0.01727491362675364,0.02682937144462835,1.0
2023-07-18,0.03313920590108925,0.018857981126081606,0.8
2023-07-25,8.53062483129774e-05,0.005204631208046971,0.8
2023-08-01,-0.003972145628412837,-0.010949803195542148,1.0
2023-08-08,-0.005737871556377505,-0.013607836406676536,0.6
2023-08-15,-0.009066247601733402,-0.014705937588783526,0.4
2023-08-22,0.016824125032408065,0.024742334677692535,0.8
2023-08-29,-0.010176438463648818,-0.009778130241949125,0.6
2023-09-06,0.011985316059961138,0.010222249490915313,0.8
2023-09-13,-0.03907819570568476,-0.012981060961480072,0.8
2023-09-20,-0.019597889606722242,-0.031012806758128904,0.4
2023-09-27,-0.008514862951656644,-0.01603730450471356,0.6
2023-10-04,0.0224637479263907,0.018761569563136734,0.4
2023-10-11,-0.042740173534991224,-0.017388845981490413,0.4
2023-10-18,-0.006212390826135139,-0.02066762367456269,0.6
2023-10-25,0.00863234331173488,0.014432590561099452,0.6
2023-11-01,0.03751771926947618,0.022259171538396988,0.8
2023-11-08,0.035159394620803044,0.03472193952570074,0.8
2023-11-15,0.005306309101214701,0.011803640435582774,1.0
2023-11-22,0.01593902054812133,0.010117009483277584,1.0
2023-11-30,-0.0055869358813745995,0.0009813676704115244,0.8
2023-12-07,0.05422284034958693,0.03970698377654779,0.6
2023-12-14,-0.0011035388997987505,0.006516265891080472,0.6
