date,ic
2022-01-03,-0.2448275862068965
2022-01-04,0.4458128078817733
2022-01-05,0.4004926108374383
2022-01-06,0.23349753694581274
2022-01-07,-0.028078817733990142
2022-01-10,0.14827586206896548
2022-01-11,-0.4995073891625615
2022-01-12,-0.2068965517241379
2022-01-13,-0.4369458128078817
2022-01-14,-0.6108374384236452
2022-01-18,-0.47881773399014765
2022-01-19,-0.3561576354679802
2022-01-20,0.0004926108374384235
2022-01-21,0.019211822660098517
2022-01-24,0.26305418719211815
2022-01-25,0.26108374384236444
2022-01-26,0.14532019704433494
2022-01-27,0.031034482758620686
2022-01-28,0.22315270935960585
2022-01-31,-0.4088669950738915
2022-02-01,-0.17832512315270932
2022-02-02,-0.1320197044334975
2022-02-03,-0.1364532019704433
2022-02-04,-0.6034482758620688
2022-02-07,-0.2364532019704433
2022-02-08,0.10591133004926105
2022-02-09,0.17931034482758618
2022-02-10,-0.06847290640394087
2022-02-11,0.19014778325123147
2022-02-14,0.12315270935960589
2022-02-15,-0.004433497536945812
2022-02-16,-0.23940886699507383
2022-02-17,-0.21970443349753688
2022-02-18,-0.021674876847290636
2022-02-22,0.029064039408866992
2022-02-23,0.10147783251231525
2022-02-24,-0.0985221674876847
2022-02-25,-0.0566502463054187
2022-02-28,0.012807881773399012
2022-03-01,-0.3980295566502462
2022-03-02,-0.16256157635467974
2022-03-03,-0.40935960591132997
2022-03-04,-0.6384236453201969
2022-03-07,-0.4142857142857142
2022-03-08,-0.33103448275862063
2022-03-09,-0.0625615763546798
2022-03-10,-0.0502463054187192
2022-03-11,0.715270935960591
2022-03-14,0.6615763546798028
2022-03-15,0.6029556650246305
2022-03-16,0.13004926108374382
2022-03-17,0.29655172413793096
2022-03-18,-0.011330049261083741
2022-03-21,0.2842364532019704
2022-03-22,0.0167487684729064
2022-03-23,-0.13103448275862067
2022-03-24,-0.10147783251231525
2022-03-25,-0.04679802955665024
2022-03-28,0.07290640394088668
2022-03-29,-0.028078817733990142
2022-03-30,-0.25665024630541866
2022-03-31,0.005911330049261082
2022-04-01,0.10738916256157634
2022-04-04,-0.09458128078817732
2022-04-05,0.1403940886699507
2022-04-06,-0.31576354679802954
2022-04-07,-0.5374384236453201
2022-04-08,-0.39211822660098516
2022-04-11,0.12463054187192114
2022-04-12,-0.3226600985221674
2022-04-13,-0.15467980295566497
2022-04-14,-0.29655172413793096
2022-04-18,0.009359605911330046
2022-04-19,-0.20492610837438419
2022-04-20,-0.14827586206896548
2022-04-21,-0.11576354679802954
2022-04-22,0.08719211822660097
2022-04-25,0.0669950738916256
2022-04-26,0.20837438423645313
2022-04-27,0.31724137931034474
2022-04-28,-0.17733990147783246
2022-04-29,-0.3625615763546797
2022-05-02,-0.4798029556650245
2022-05-03,-0.2763546798029556
2022-05-04,-0.4423645320197043
2022-05-05,-0.37389162561576345
2022-05-06,0.12315270935960589
2022-05-09,0.022660098522167483
2022-05-10,-0.21822660098522165
2022-05-11,-0.09655172413793102
2022-05-12,-0.056157635467980284
2022-05-13,-0.011822660098522165
2022-05-16,-0.2665024630541871
2022-05-17,-0.06108374384236451
2022-05-18,-0.2665024630541871
2022-05-19,-0.19852216748768467
2022-05-20,0.33103448275862063
2022-05-23,0.0940886699507389
2022-05-24,0.1679802955665024
2022-05-25,0.25172413793103443
2022-05-26,-0.2157635467980295
2022-05-27,-0.19802955665024624
2022-05-31,-0.2280788177339901
2022-06-01,-0.20837438423645313
2022-06-02,-0.17142857142857137
2022-06-03,0.12660098522167484
2022-06-06,0.11773399014778321
2022-06-07,-0.07931034482758618
2022-06-08,-0.17931034482758618
2022-06-09,-0.35369458128078807
2022-06-10,0.0251231527093596
2022-06-13,0.3684729064039408
2022-06-14,0.27093596059113295
2022-06-15,-0.20197044334975364
2022-06-16,-0.030049261083743836
2022-06-17,-0.005911330049261082
2022-06-21,-0.3911330049261083
2022-06-22,-0.4354679802955664
2022-06-23,-0.13743842364532016
2022-06-24,-0.005418719211822659
2022-06-27,0.1088669950738916
2022-06-28,0.2029556650246305
2022-06-29,0.07192118226600984
2022-06-30,0.01822660098522167
2022-07-01,0.18719211822660095
2022-07-05,-0.11822660098522166
2022-07-06,-0.23103448275862065
2022-07-07,-0.5004926108374383
2022-07-08,-0.36798029556650236
2022-07-11,-0.17044334975369455
2022-07-12,0.1571428571428571
2022-07-13,0.1926108374384236
2022-07-14,0.21822660098522165
2022-07-15,-0.05911330049261083
2022-07-18,-0.30492610837438416
2022-07-19,0.1758620689655172
2022-07-20,-0.12463054187192114
2022-07-21,-0.23004926108374377
2022-07-22,-0.39064039408866985
2022-07-25,0.15615763546798028
2022-07-26,0.3812807881773398
2022-07-27,-0.04926108374384235
2022-07-28,0.23349753694581274
2022-07-29,0.5034482758620689
2022-08-01,0.20492610837438419
2022-08-02,0.4502463054187191
