date,n_eff_universe,n_eff_top5
2022-01-03,5.07564640045166,3.3184516429901123
2022-01-04,3.914597988128662,3.1534345149993896
2022-01-05,4.727356433868408,3.059014320373535
2022-01-06,4.913142204284668,2.7934110164642334
2022-01-07,4.664729595184326,2.906554698944092
2022-01-10,3.5115749835968018,3.2906880378723145
2022-01-11,4.238195896148682,3.0661165714263916
2022-01-12,4.38593864440918,2.9891510009765625
2022-01-13,3.748162269592285,2.9347987174987793
2022-01-14,3.68424916267395,2.6602375507354736
2022-01-18,4.502159118652344,2.551220417022705
2022-01-19,5.064579963684082,3.031576156616211
2022-01-20,4.463489532470703,3.179330587387085
2022-01-21,4.6139817237854,3.6634321212768555
2022-01-24,4.444632530212402,3.2274813652038574
2022-01-25,4.467103481292725,2.5346362590789795
2022-01-26,4.310863018035889,2.461534023284912
2022-01-27,4.467249870300293,2.482661008834839
2022-01-28,4.328170299530029,2.3908278942108154
2022-01-31,4.208071708679199,2.260511875152588
2022-02-01,3.9977245330810547,2.5917608737945557
2022-02-02,4.123800754547119,2.8545351028442383
2022-02-03,4.545145511627197,2.7984094619750977
2022-02-04,4.349708080291748,3.0189263820648193
2022-02-07,4.926262855529785,2.4678213596343994
2022-02-08,5.135547161102295,2.546415328979492
2022-02-09,5.103484630584717,2.623175621032715
2022-02-10,4.757258415222168,2.335752248764038
2022-02-11,5.078912258148193,2.178983449935913
2022-02-14,5.567376613616943,2.570751905441284
2022-02-15,5.115556240081787,2.4239046573638916
2022-02-16,4.53418493270874,2.3933489322662354
2022-02-17,4.625489234924316,2.754061460494995
2022-02-18,5.3781023025512695,2.7757480144500732
2022-02-22,5.280242919921875,2.9604101181030273
2022-02-23,4.766068935394287,3.059192419052124
2022-02-24,5.254557132720947,2.7593021392822266
2022-02-25,5.689826011657715,3.0629780292510986
2022-02-28,5.657261848449707,3.0976712703704834
2022-03-01,5.441720008850098,2.539851188659668
2022-03-02,5.295492649078369,2.214724540710449
2022-03-03,4.457338333129883,2.62752628326416
2022-03-04,5.374670505523682,2.4242775440216064
2022-03-07,5.458618640899658,2.5024914741516113
2022-03-08,5.408422946929932,3.039991617202759
2022-03-09,5.683124542236328,2.720834732055664
2022-03-10,5.384819030761719,2.7946999073028564
2022-03-11,5.83984375,2.5836329460144043
2022-03-14,5.171374797821045,2.8055918216705322
2022-03-15,4.81846284866333,2.7913684844970703
2022-03-16,5.69278621673584,2.810309886932373
2022-03-17,5.8729658126831055,3.516227960586548
2022-03-18,5.531920433044434,2.5312211513519287
2022-03-21,5.452359199523926,2.927546501159668
2022-03-22,5.111795902252197,2.2711055278778076
2022-03-23,5.566375255584717,2.5811734199523926
2022-03-24,4.9783406257629395,2.6078386306762695
2022-03-25,5.218816757202148,2.462930917739868
2022-03-28,5.092561721801758,2.098383903503418
2022-03-29,5.591903209686279,2.868048906326294
2022-03-30,4.63202428817749,2.968210458755493
2022-03-31,4.852487564086914,2.832015037536621
2022-04-01,5.183009147644043,2.702550172805786
2022-04-04,4.109315872192383,1.8488630056381226
2022-04-05,5.280610084533691,1.8908016681671143
2022-04-06,5.3709564208984375,2.2222659587860107
2022-04-07,5.238410472869873,2.464080810546875
2022-04-08,4.969856262207031,3.1051924228668213
2022-04-11,4.745016574859619,3.531869888305664
2022-04-12,5.044451713562012,2.653186321258545
2022-04-13,4.920732498168945,2.9304487705230713
2022-04-14,5.1662139892578125,2.681809663772583
2022-04-18,5.335498332977295,3.028174877166748
2022-04-19,5.018935680389404,2.9606361389160156
2022-04-20,5.1682915687561035,2.15799617767334
2022-04-21,4.852733612060547,2.497906446456909
2022-04-22,5.469457626342773,2.8013598918914795
2022-04-25,5.373355865478516,2.4760122299194336
2022-04-26,5.397916316986084,3.6837446689605713
2022-04-27,5.990984916687012,2.688243865966797
2022-04-28,5.513003349304199,2.8906359672546387
2022-04-29,4.762673377990723,3.0530502796173096
2022-05-02,3.931540012359619,2.92927622795105
2022-05-03,4.573672294616699,2.9419617652893066
2022-05-04,4.608806610107422,2.400787353515625
2022-05-05,5.336162567138672,3.103090524673462
2022-05-06,5.584673881530762,3.140470504760742
2022-05-09,5.636560916900635,3.021104574203491
2022-05-10,5.4118547439575195,3.1085734367370605
2022-05-11,5.698094367980957,3.323394298553467
2022-05-12,5.707906246185303,3.6274991035461426
2022-05-13,5.1032843589782715,2.5136520862579346
2022-05-16,4.627336502075195,2.823960542678833
2022-05-17,5.515209197998047,2.9128644466400146
2022-05-18,5.370750427246094,2.88973331451416
2022-05-19,4.6969733238220215,3.3588333129882812
2022-05-20,5.256119251251221,2.8591787815093994
2022-05-23,5.3357672691345215,3.1570816040039062
2022-05-24,5.165066719055176,2.9552228450775146
2022-05-25,5.177839279174805,2.8204965591430664
2022-05-26,4.8512067794799805,3.4345362186431885
2022-05-27,5.268270492553711,3.013251781463623
2022-05-31,5.707653522491455,2.9745733737945557
2022-06-01,5.302382469177246,2.573211669921875
2022-06-02,4.858891010284424,2.7219624519348145
2022-06-03,4.842959880828857,2.805112600326538
2022-06-06,5.358307361602783,2.8895695209503174
2022-06-07,5.808523654937744,2.878739833831787
2022-06-08,5.527987957000732,3.219449281692505
2022-06-09,5.44193696975708,3.3782942295074463
2022-06-10,5.366064071655273,3.4911301136016846
2022-06-13,5.11329984664917,3.5638270378112793
2022-06-14,5.443967819213867,3.2517788410186768
2022-06-15,5.1279730796813965,3.2279443740844727
2022-06-16,5.110097408294678,2.805082082748413
2022-06-17,4.428289413452148,2.891552686691284
2022-06-21,4.63739538192749,2.079148769378662
2022-06-22,4.674414157867432,3.1322569847106934
2022-06-23,5.068621635437012,3.047429084777832
2022-06-24,4.859193801879883,2.501387596130371
2022-06-27,4.927670001983643,2.84220027923584
2022-06-28,5.534419536590576,2.5590875148773193
2022-06-29,5.2836384773254395,2.5074620246887207
2022-06-30,5.4785614013671875,3.154876470565796
2022-07-01,5.372223377227783,3.374931573867798
2022-07-05,5.277631759643555,3.252774477005005
2022-07-06,5.205255031585693,2.780087471008301
2022-07-07,5.1852946281433105,2.8084089756011963
2022-07-08,5.350311279296875,3.1884350776672363
2022-07-11,4.763415336608887,2.7462689876556396
2022-07-12,4.820956230163574,3.178764581680298
2022-07-13,5.560713291168213,3.2001473903656006
2022-07-14,5.3428215980529785,2.661876678466797
2022-07-15,5.489025592803955,2.99967885017395
2022-07-18,4.715442657470703,2.7642858028411865
2022-07-19,5.283114433288574,3.321013927459717
2022-07-20,4.7995829582214355,2.286672592163086
2022-07-21,4.6531500816345215,2.63988995552063
2022-07-22,4.140328407287598,2.254409074783325
2022-07-25,3.7734968662261963,2.5600359439849854
2022-07-26,4.837488651275635,3.152696371078491
2022-07-27,5.761547565460205,2.8882999420166016
2022-07-28,5.255324840545654,2.6128265857696533
2022-07-29,5.3376312255859375,3.1423838138580322
2022-08-01,5.1136884689331055,2.5372138023376465
2022-08-02,5.044086456298828,2.196355104446411
2022-08-03,4.78178596496582,2.861363172531128
2022-08-04,5.164764881134033,2.5818614959716797
2022-08-05,4.8244194984436035,2.958163261413574
2022-08-08,4.7789788246154785,2.851008892059326
2022-08-09,4.520304203033447,3.6074538230895996
2022-08-10,5.0542311668396,3.1244099140167236
2022-08-11,5.277490615844727,3.117053985595703
2022-08-12,5.830065727233887,3.218630790710449
2022-08-15,5.779492378234863,2.6467151641845703
2022-08-16,5.36822509765625,2.7114741802215576
2022-08-17,5.342524528503418,3.043593406677246
2022-08-18,5.087973594665527,2.957947254180908
2022-08-19,5.4557719230651855,3.0219228267669678
2022-08-22,5.600422382354736,2.811880111694336
2022-08-23,5.391099452972412,2.6131489276885986
2022-08-24,5.868216037750244,2.582169532775879
2022-08-25,6.1115264892578125,2.4880595207214355
2022-08-26,5.999311923980713,2.9145572185516357
2022-08-29,5.496639251708984,3.2186503410339355
2022-08-30,5.801122188568115,2.99947452545166
2022-08-31,6.08733606338501,2.652812957763672
2022-09-01,5.825193881988525,2.7255637645721436
2022-09-02,5.411326885223389,2.808656930923462
2022-09-06,4.885147571563721,3.25752592086792
2022-09-07,5.239717483520508,3.226635217666626
2022-09-08,5.016199111938477,3.2575275897979736
2022-09-09,6.191379070281982,3.1935839653015137
2022-09-12,6.362624645233154,2.8758928775787354
2022-09-13,5.945806980133057,3.1317226886749268
2022-09-14,6.488900184631348,3.1694912910461426
2022-09-15,6.121763706207275,3.312058448791504
2022-09-16,5.307164669036865,2.7734692096710205
2022-09-19,5.579354286193848,2.7848572731018066
2022-09-20,5.126774311065674,2.533144474029541
2022-09-21,5.751095771789551,3.232698678970337
2022-09-22,4.823761940002441,3.4660511016845703
2022-09-23,5.185338497161865,2.8965744972229004
2022-09-26,5.684119701385498,3.0557522773742676
2022-09-27,5.309228420257568,2.792625665664673
2022-09-28,6.356573581695557,3.3252670764923096
2022-09-29,6.593523025512695,2.8007900714874268
2022-09-30,4.9662275314331055,3.378080368041992
2022-10-03,6.038919448852539,3.355924129486084
2022-10-04,6.035819053649902,3.1914851665496826
2022-10-05,6.140232086181641,2.481951951980591
2022-10-06,5.972908020019531,3.612534999847412
2022-10-07,6.333755970001221,2.9277191162109375
2022-10-10,7.208483695983887,2.9288525581359863
2022-10-11,6.389551639556885,3.378944158554077
2022-10-12,5.368940353393555,3.0542612075805664
2022-10-13,5.309791088104248,3.0089569091796875
2022-10-14,5.657950401306152,3.057750940322876
2022-10-17,5.447063446044922,3.121885061264038
2022-10-18,5.852670669555664,3.2762906551361084
2022-10-19,5.832486629486084,2.927384614944458
2022-10-20,5.098499298095703,2.6304733753204346
2022-10-21,4.5346174240112305,3.0516624450683594
2022-10-24,4.842399597167969,3.101933240890503
2022-10-25,5.5042500495910645,2.66044020652771
2022-10-26,5.657388210296631,2.7655584812164307
2022-10-27,5.027970314025879,2.8017985820770264
2022-10-28,5.070181846618652,2.6765637397766113
2022-10-31,5.1719794273376465,3.115900754928589
2022-11-01,4.9656524658203125,3.107844114303589
2022-11-02,4.746373176574707,3.2858684062957764
2022-11-03,4.267308712005615,2.6692488193511963
2022-11-04,4.36889123916626,3.726794958114624
2022-11-07,4.867027282714844,3.488766670227051
2022-11-08,4.972666263580322,2.253039836883545
2022-11-09,4.928742408752441,2.749056816101074
2022-11-10,5.5076093673706055,2.3687398433685303
2022-11-11,6.048237323760986,3.134169578552246
2022-11-14,5.207408905029297,2.9168899059295654
2022-11-15,6.10133695602417,3.0112826824188232
2022-11-16,4.8791093826293945,2.7664592266082764
2022-11-17,4.973662853240967,2.896472215652466
2022-11-18,6.163003444671631,3.2615628242492676
2022-11-21,6.169524669647217,3.267119884490967
2022-11-22,5.925954818725586,3.044715166091919
2022-11-23,5.608847618103027,3.016035795211792
2022-11-25,5.639177322387695,2.835221290588379
2022-11-28,5.266481876373291,2.5381011962890625
2022-11-29,4.89865779876709,2.9731931686401367
2022-11-30,4.954902172088623,2.982548236846924
2022-12-01,5.514805793762207,2.9408652782440186
2022-12-02,5.076796054840088,3.05367112159729
2022-12-05,4.819433212280273,2.9249565601348877
2022-12-06,5.037845134735107,3.012636661529541
2022-12-07,4.81742525100708,3.0915982723236084
2022-12-08,5.251837253570557,3.2322213649749756
2022-12-09,5.514522552490234,3.555621862411499
2022-12-12,5.520576477050781,2.8095788955688477
2022-12-13,5.375864505767822,3.0059380531311035
2022-12-14,4.829258918762207,3.4641740322113037
2022-12-15,5.0918121337890625,3.119196653366089
2022-12-16,5.055059909820557,3.0420730113983154
2022-12-19,4.618756294250488,2.8380181789398193
2022-12-20,4.627464771270752,3.199740171432495
2022-12-21,4.224570274353027,3.180217981338501
2022-12-22,5.001002788543701,3.0041635036468506
2022-12-23,4.500622272491455,2.1403214931488037
2022-12-27,4.454956531524658,2.807999610900879
2022-12-28,5.055295944213867,2.5839290618896484
2022-12-29,4.78896427154541,3.142050266265869
2022-12-30,4.831192493438721,2.7544801235198975
2023-01-03,5.275478363037109,3.2879223823547363
2023-01-04,4.957478046417236,3.1614294052124023
2023-01-05,5.1782355308532715,2.30425763130188
2023-01-06,5.21940803527832,3.157219886779785
2023-01-09,5.7254557609558105,2.9839839935302734
2023-01-10,5.717915058135986,2.63757061958313
2023-01-11,4.998918533325195,2.845632791519165
2023-01-12,4.609743118286133,2.344184160232544
2023-01-13,4.8326263427734375,2.4003047943115234
2023-01-17,5.12668514251709,2.9195783138275146
2023-01-18,5.811983585357666,2.7354307174682617
2023-01-19,5.022173881530762,3.0347702503204346
2023-01-20,4.486735820770264,2.8214800357818604
2023-01-23,4.989991664886475,2.8634214401245117
2023-01-24,4.966629981994629,2.514583110809326
2023-01-25,4.945174694061279,2.567131996154785
2023-01-26,5.427048683166504,2.6177818775177
2023-01-27,5.83700704574585,2.8056704998016357
2023-01-30,5.572645664215088,3.0418648719787598
2023-01-31,4.997303485870361,2.6326777935028076
2023-02-01,5.18965482711792,3.3029110431671143
2023-02-02,5.488990783691406,3.520125150680542
2023-02-03,5.945525169372559,3.215834856033325
2023-02-06,5.846988201141357,2.598144769668579
2023-02-07,5.430362224578857,3.3095977306365967
2023-02-08,6.2678985595703125,3.1285245418548584
2023-02-09,6.292103290557861,3.03212571144104
2023-02-10,5.891274452209473,3.3615825176239014
2023-02-13,5.633217811584473,2.9015824794769287
2023-02-14,5.922043323516846,2.812774419784546
2023-02-15,5.579658508300781,2.8774116039276123
2023-02-16,5.15449857711792,3.5526132583618164
2023-02-17,4.625621318817139,2.449190616607666
2023-02-21,4.818865776062012,2.5541188716888428
2023-02-22,5.350150108337402,2.735520839691162
2023-02-23,5.057642459869385,3.0127112865448
2023-02-24,5.487514972686768,2.5913407802581787
2023-02-27,5.475393295288086,3.0963072776794434
2023-02-28,5.539317607879639,3.6696298122406006
2023-03-01,5.546693325042725,3.3249423503875732
2023-03-02,5.451944351196289,3.198199510574341
2023-03-03,5.821356773376465,2.7393076419830322
2023-03-06,5.7134904861450195,2.7583723068237305
2023-03-07,5.426261901855469,2.381953477859497
2023-03-08,5.549276351928711,2.6145591735839844
2023-03-09,5.437191963195801,2.43331241607666
2023-03-10,4.982631683349609,2.0304341316223145
2023-03-13,4.713216304779053,2.4257450103759766
2023-03-14,4.752326011657715,2.386456251144409
2023-03-15,4.658158779144287,2.608873128890991
2023-03-16,4.407602787017822,2.331103563308716
2023-03-17,4.739802837371826,2.6286494731903076
2023-03-20,4.824873924255371,2.2932369709014893
2023-03-21,4.925628662109375,2.686983108520508
2023-03-22,4.602937698364258,2.83585262298584
2023-03-23,4.6852335929870605,3.0153391361236572
2023-03-24,4.776798248291016,2.5853629112243652
2023-03-27,4.604804515838623,2.778885841369629
2023-03-28,4.864912986755371,3.0875065326690674
2023-03-29,5.051278591156006,2.7486443519592285
2023-03-30,5.42274808883667,3.3589015007019043
2023-03-31,4.92370080947876,2.2788279056549072
2023-04-03,4.714016437530518,2.6020009517669678
2023-04-04,4.452812194824219,2.684368371963501
2023-04-05,4.814599514007568,2.794374704360962
2023-04-06,4.704139709472656,2.2233726978302
2023-04-10,4.839016914367676,2.8461616039276123
2023-04-11,4.783154010772705,2.5179827213287354
2023-04-12,4.969327449798584,1.9575140476226807
2023-04-13,4.960869789123535,2.5095555782318115
2023-04-14,4.931342124938965,2.589704990386963
2023-04-17,4.79665994644165,2.819610118865967
2023-04-18,4.775535583496094,2.7717955112457275
2023-04-19,4.633585453033447,2.5893239974975586
2023-04-20,4.494974136352539,3.186678409576416
2023-04-21,4.55845308303833,2.154423475265503
2023-04-24,4.6301445960998535,2.2956042289733887
2023-04-25,5.142040252685547,2.4021191596984863
2023-04-26,4.935980796813965,2.1057019233703613
2023-04-27,4.677788257598877,1.9125813245773315
2023-04-28,4.819804668426514,2.5334413051605225
2023-05-01,4.6270527839660645,3.036508560180664
2023-05-02,4.243494033813477,2.02597975730896
2023-05-03,4.414490699768066,2.3232572078704834
2023-05-04,4.712490558624268,2.3522121906280518
2023-05-05,4.911874294281006,2.4450738430023193
2023-05-08,4.669403553009033,2.5385398864746094
2023-05-09,4.959966659545898,2.3095457553863525
2023-05-10,4.893228054046631,2.463864326477051
2023-05-11,4.844974994659424,3.2661874294281006
2023-05-12,4.730645179748535,2.5329232215881348
2023-05-15,4.675926685333252,3.2079756259918213
2023-05-16,4.51259708404541,2.7985739707946777
2023-05-17,5.136315822601318,2.4029929637908936
2023-05-18,5.020958423614502,2.8031604290008545
2023-05-19,5.037566661834717,2.6291723251342773
2023-05-22,4.761209011077881,2.0389392375946045
2023-05-23,5.059687614440918,2.3124327659606934
2023-05-24,4.750949859619141,2.355405330657959
2023-05-25,4.447386264801025,3.018418550491333
2023-05-26,4.889578342437744,1.8648370504379272
2023-05-30,4.708141803741455,1.84215247631073
2023-05-31,4.4754486083984375,2.1146576404571533
2023-06-01,4.662062644958496,3.352895498275757
2023-06-02,4.913515567779541,2.861905097961426
2023-06-05,3.9520857334136963,2.2377374172210693
2023-06-06,4.133234977722168,2.1720633506774902
2023-06-07,3.963085174560547,2.035580635070801
2023-06-08,3.9258291721343994,2.0046892166137695
2023-06-09,4.143794059753418,2.074169158935547
2023-06-12,4.736728668212891,2.3112664222717285
2023-06-13,4.107637882232666,1.8923958539962769
2023-06-14,4.291629314422607,1.8036198616027832
2023-06-15,4.21733283996582,1.8045982122421265
2023-06-16,4.728691101074219,1.9082434177398682
2023-06-20,4.325663089752197,2.039355516433716
2023-06-21,4.217740058898926,2.2521541118621826
2023-06-22,4.112721920013428,1.9965862035751343
2023-06-23,4.518751621246338,2.129748821258545
2023-06-26,4.494213581085205,2.5392825603485107
2023-06-27,4.509746074676514,2.471544027328491
2023-06-28,4.2312421798706055,2.4969546794891357
2023-06-29,4.050059795379639,2.2570717334747314
2023-06-30,4.459506988525391,2.5210888385772705
2023-07-03,4.712202072143555,2.718578338623047
2023-07-05,5.176941394805908,2.3374369144439697
2023-07-06,4.89206075668335,2.078110933303833
2023-07-07,4.498048305511475,2.3296213150024414
2023-07-10,4.494764804840088,2.3101859092712402
2023-07-11,4.74330472946167,2.7694029808044434
2023-07-12,4.975708484649658,2.565441131591797
2023-07-13,4.575221538543701,2.172452211380005
2023-07-14,4.823202610015869,3.043710708618164
2023-07-17,4.927879333496094,2.391660451889038
2023-07-18,4.4183268547058105,2.2593774795532227
2023-07-19,4.5672383308410645,2.437669277191162
2023-07-20,4.308493137359619,2.6167168617248535
2023-07-21,4.525549411773682,2.859487533569336
2023-07-24,4.741475582122803,2.337313652038574
2023-07-25,4.588948726654053,2.6286306381225586
2023-07-26,4.879881381988525,2.227673292160034
2023-07-27,4.643923282623291,2.3676059246063232
2023-07-28,4.785609722137451,2.6165199279785156
2023-07-31,4.397636890411377,2.5872914791107178
2023-08-01,4.5208234786987305,2.1026360988616943
2023-08-02,4.455254077911377,2.3675038814544678
2023-08-03,4.6912407875061035,2.5436737537384033
2023-08-04,4.890699863433838,2.494878053665161
2023-08-07,5.205955505371094,2.9284746646881104
2023-08-08,4.522732734680176,3.0186891555786133
2023-08-09,4.438297748565674,2.8490355014801025
2023-08-10,4.676262855529785,2.6703298091888428
2023-08-11,5.081423759460449,2.734259843826294
2023-08-14,4.792115211486816,2.0946714878082275
2023-08-15,5.042722225189209,2.854764223098755
2023-08-16,4.899893283843994,2.449720621109009
2023-08-17,5.116678714752197,2.8584489822387695
2023-08-18,5.457520008087158,3.567462205886841
2023-08-21,5.506394863128662,3.266275405883789
2023-08-22,5.482812881469727,3.359832286834717
2023-08-23,5.16164493560791,3.039548397064209
2023-08-24,5.335271835327148,2.9980220794677734
2023-08-25,4.307060718536377,3.0318846702575684
2023-08-28,5.066586971282959,3.5275967121124268
2023-08-29,5.106454372406006,2.9056496620178223
2023-08-30,5.111774921417236,3.5609171390533447
2023-08-31,4.952616214752197,2.97033429145813
2023-09-01,4.758662223815918,2.4495608806610107
2023-09-05,4.983007907867432,3.254727363586426
2023-09-06,4.4703288078308105,2.7376933097839355
2023-09-07,4.598094463348389,2.58732271194458
2023-09-08,4.879388809204102,2.5187225341796875
